Screaming Circuits SMD component position file.
Created by Centroid_ScreamingCircuits_smd.ulp 1.2.0.

Centroid Data for pc board: "CurrentDriver-v1.0.brd" as of: 6/21/14 11:27 AM
Measurements are in inches. Comma delimited
Only surface mount components included

RefDes,Layer,LocationX,LocationY,Rotation
BUF1,Top,1.690,1.110,270
C1,Top,2.060,2.085,180
C2,Top,2.170,2.415,90
C3,Top,1.990,1.600,180
C4,Top,2.200,1.600,0
C5,Top,2.090,1.560,270
C6,Top,2.125,1.440,180
C7,Bottom,2.200,1.600,180
C8,Bottom,2.090,1.560,270
C9,Bottom,2.125,1.440,0
C27,Top,5.500,2.780,0
C28,Top,5.140,3.250,0
C29,Top,3.760,2.820,180
C30,Top,2.900,2.070,180
C31,Top,3.290,2.090,90
CD3,Top,2.640,1.545,180
CD7,Top,3.760,3.040,180
CL1,Top,2.015,1.270,270
CL2,Top,1.870,1.480,270
CL3,Top,1.780,1.210,90
CL4,Top,1.530,1.060,180
CL5,Top,0.987,1.132,270
CL6,Top,1.170,1.340,90
CL8,Top,2.510,1.770,270
CL9,Top,4.990,2.780,180
CL10,Top,3.730,3.630,270
CL11,Top,3.740,3.430,270
CL12,Top,2.055,2.340,90
CN1,Top,5.280,1.310,90
CN2,Top,5.280,1.005,90
CN3,Top,4.605,1.485,270
CP1,Top,5.505,0.885,270
CP2,Top,5.505,0.580,270
CP3,Top,4.680,0.835,90
CR1,Top,2.075,1.230,270
CR2,Top,1.800,1.400,270
CR3,Top,1.690,1.220,180
CR4,Top,1.510,1.000,180
CR5,Top,0.910,1.050,270
CR6,Top,1.290,1.360,0
CR8,Top,2.620,1.480,180
CR9,Top,4.850,2.820,180
CR12,Top,1.990,2.360,90
D2,Top,5.165,3.510,90
DAC1,Top,2.640,1.720,0
IC1,Top,4.215,0.550,90
IC2,Top,4.150,1.240,0
IC3,Top,3.110,2.070,270
IC4,Top,1.080,1.230,90
IC5,Top,5.240,2.790,0
IC6,Top,3.870,2.930,270
IC7,Top,1.970,1.430,0
JP5,Top,0.560,3.185,0
LN1,Top,4.805,1.185,180
LOUT1,Top,0.780,1.540,180
LP1,Top,5.055,0.710,180
MC1,Top,1.230,1.085,90
MON1,Top,1.520,1.150,180
MR1,Top,0.820,1.200,90
MR2,Top,0.910,1.200,90
MR3,Top,1.050,1.080,90
MR4,Top,1.170,1.080,270
MR5,Top,1.290,1.280,0
MR6,Top,1.050,1.340,180
MR7,Top,0.650,1.370,270
MR8,Top,0.775,1.330,0
MR9,Top,0.735,1.201,270
QFB1,Top,1.720,1.540,90
R1,Top,1.870,1.550,180
R2,Top,1.870,1.600,0
R3,Top,3.700,3.310,90
R4,Top,2.365,1.600,0
R5,Top,2.220,1.520,0
R7,Top,3.660,3.660,0
R8,Top,3.670,3.460,0
R9,Top,3.750,3.260,270
R10,Top,3.650,3.310,90
R12,Top,2.920,0.910,270
R14,Top,5.290,3.270,270
R15,Top,5.290,3.360,270
R16,Top,5.360,3.310,270
R17,Top,5.230,3.440,0
R18,Top,5.580,2.710,180
R19,Top,5.620,2.840,180
R20,Top,0.678,1.051,180
R21,Top,5.220,3.360,90
R22,Top,5.230,3.490,0
R23,Top,2.770,1.475,0
R24,Top,2.855,1.450,270
R25,Top,4.890,2.970,270
R26,Top,5.130,2.340,270
R27,Top,5.100,2.410,0
R30,Top,0.710,3.190,180
R31,Top,0.710,3.390,180
R32,Top,2.440,3.180,180
R33,Top,2.440,3.280,180
R34,Top,2.440,3.380,180
R35,Top,2.440,3.480,180
R36,Top,2.850,0.910,90
R37,Top,2.820,0.840,0
R38,Top,5.405,2.190,0
R39,Top,2.940,1.820,180
R40,Top,3.115,2.315,270
R41,Top,2.910,2.200,270
R42,Top,5.320,2.335,90
R43,Top,3.080,1.820,0
R44,Top,2.835,2.000,270
R45,Top,2.910,1.950,90
R46,Top,5.255,2.460,90
R47,Top,3.410,2.075,0
R48,Top,3.360,1.940,270
R49,Top,3.300,1.940,270
R50,Top,2.105,1.375,0
R51,Top,1.710,0.975,270
R52,Top,1.765,0.975,90
R53,Top,1.735,0.885,0
R54,Top,1.520,1.105,180
R100,Top,5.220,3.270,90
RJH1,Top,0.650,1.520,270
RS1,Top,2.010,1.870,0
RS2,Top,2.010,1.750,0
T1,Top,0.920,3.080,90
VREG1,Top,2.195,2.250,90
